rank,country,safety_index
1,Venezuela,18.8
2,Papua New Guinea,20.3
3,Afghanistan,21.7
4,Haiti,22.1
5,South Africa,24.6
6,Honduras,26.6
7,Trinidad And Tobago,29.2
8,Syria,30.9
9,Yemen,31.4
10,Jamaica,31.9
11,Peru,32.2
12,Guyana,32.7
13,Angola,33.5
14,Nigeria,33.8
15,Brazil,34.4
16,Somalia,34.8
17,Bolivia,35.4
18,Argentina,35.8
19,Namibia,36.1
20,Mozambique,36.3
21,Cameroon,36.5
22,Ecuador,37.9
23,Us Virgin Islands,37.9
24,Puerto Rico,38.3
25,Bangladesh,38.5
26,El Salvador,38.7
27,Colombia,38.8
28,Zimbabwe,39.1
29,Dominican Republic,39.5
30,Libya,39.6
31,Guatemala,40.5
32,Chile,40.7
33,Fiji,42.7
34,Ivory Coast,42.9
35,Bahamas,43.5
36,Kenya,43.6
37,France,44.7
38,Maldives,45.0
39,Uganda,45.0
40,Tanzania,45.5
41,Kyrgyzstan,46.0
42,Mexico,46.2
43,Costa Rica,46.3
44,Belize,47.0
45,Cambodia,47.2
46,Mongolia,47.6
47,Nicaragua,47.8
48,Botswana,47.8
49,Uruguay,47.8
50,Algeria,47.8
51,North Korea,48.3
52,Paraguay,49.1
53,Belarus,49.2
54,Ethiopia,49.2
55,Malaysia,49.3
56,Myanmar,49.6
57,Iran,50.5
58,United States,50.7
59,Belgium,50.8
60,Sweden,51.6
61,Mauritius,52.2
62,New Zealand,52.3
63,United Kingdom,52.6
64,Italy,52.7
65,Egypt,52.7
66,Australia,52.9
67,Barbados,52.9
68,Ukraine,53.1
69,Greece,53.3
70,Ireland,53.5
71,Morocco,53.5
72,Lebanon,53.6
73,Zambia,53.6
74,Indonesia,53.9
75,Kazakhstan,54.1
76,Albania,54.4
77,Sudan,54.6
78,Canada,54.8
79,Moldova,54.9
80,Iraq,55.3
81,Tunisia,55.6
82,Panama,55.7
83,India,55.7
84,Ghana,56.1
85,Pakistan,56.8
86,Philippines,57.2
87,Vietnam,57.8
88,Palestine,57.9
89,Sri Lanka,57.9
90,Kosovo (Disputed Territory),58.3
91,Malta,58.8
92,North Macedonia,59.0
93,Turkey,59.1
94,Bosnia And Herzegovina,59.1
95,Jordan,59.6
96,Russia,60.9
97,Germany,61.1
98,Serbia,61.7
99,Montenegro,62.0
100,Thailand,62.1
101,Nepal,62.3
102,Latvia,62.6
103,Bulgaria,62.9
104,Spain,63.8
105,Luxembourg,65.6
106,Hungary,66.3
107,Romania,66.3
108,Cuba,66.6
109,Kuwait,67.2
110,Lithuania,67.2
111,Norway,67.4
112,Cyprus,67.6
113,Israel,67.6
114,Azerbaijan,68.4
115,Portugal,68.8
116,Slovakia,68.9
117,Poland,69.3
118,Uzbekistan,69.5
119,Brunei,70.5
120,Austria,70.7
121,Saudi Arabia,73.1
122,Czech Republic,73.2
123,Rwanda,73.2
124,Netherlands,73.7
125,Denmark,73.7
126,Finland,73.7
127,Georgia,73.9
128,Croatia,74.0
129,Iceland,74.6
130,Switzerland,74.7
131,China,75.1
132,South Korea,75.1
133,Slovenia,75.8
134,Bahrain,76.1
135,Estonia,76.2
136,Monaco,76.4
137,Singapore,76.5
138,Japan,77.4
139,Armenia,77.6
140,Hong Kong (China),78.2
141,Isle Of Man,79.5
142,Oman,81.0
143,Taiwan,83.3
144,Qatar,84.0
145,United Arab Emirates,84.4
146,Andorra,87.1
